1, freezing, cold, medium, zero, N
2, ice, cold, medium, zero, N
3, rainy, cold, medium, zero, N 
4, cloudy, cold, medium, zero, Y
5, clear, cold, medium, zero, Y
6, sunny, cold, medium, zero, Y
7, freezing, cold, medium, gentle, N 
8, ice, cold, medium, gentle, N
9, rainy, cold, medium, gentle, N 
10, cloudy, cold, medium, gentle, Y
11, clear, cold, medium, gentle, Y
12, sunny, cold, medium, gentle, Y
13, freezing, cold, medium, fresh, N 
14, ice, cold, medium, fresh, N
15, rainy, cold, medium, fresh, N 
16, cloudy, cold, medium, fresh, Y
17, clear, cold, medium, fresh, N 
18, sunny, cold, medium, fresh, N
19, freezing, cold, medium, strong, N 
20, ice, cold, medium, strong, N
21, rainy, cold, medium, strong, N 
22, cloudy, cold, medium, strong, N
23, clear, cold, medium, strong, Y
24, sunny, cold, medium, strong, Y
25, freezing, cold, low, zero, N
26, ice, cold, low, zero, N
27, rainy, cold, low, zero, N 
28, cloudy, cold, low, zero, Y
29, clear, cold, low, zero, Y
30, sunny, cold, low, zero, Y
31, freezing, cold, low, gentle, N 
32, ice, cold, low, gentle, N
33, rainy, cold, low, gentle, N 
34, cloudy, cold, low, gentle, Y
35, clear, cold, low, gentle, Y
36, sunny, cold, low, gentle, Y
37, freezing, cold, low, fresh, N 
38, ice, cold, low, fresh, N
39, rainy, cold, low, fresh, N 
40, cloudy, cold, low, fresh, N
41, clear, cold, low, fresh,  Y
42, sunny, cold, low, fresh, Y
43, freezing, cold, low, strong, N 
44, ice, cold, low, strong, N
45, rainy, cold, low, strong, N 
46, cloudy, cold, low, strong, Y
47, clear, cold, low, strong, Y
48, sunny, cold, low, strong, Y
49, freezing, cold, high, zero, N
50, ice, cold, high, zero, N
51, rainy, cold, high, zero, N 
52, cloudy, cold, high, zero, Y
53, clear, cold, high, zero, Y
54, sunny, cold, high, zero, Y
55, freezing, cold, high, gentle, N 
56, ice, cold, high, gentle, N
57, rainy, cold, high, gentle, N 
58, cloudy, cold, high, gentle, N
59, clear, cold, high, gentle, Y
60, sunny, cold, high, gentle, Y
61, freezing, cold, high, fresh, N 
62, ice, cold, high, fresh, N
63, rainy, cold, high, fresh, N 
64, cloudy, cold, high, fresh, N
65, clear, cold, high, fresh, Y
66, sunny, cold, high, fresh, Y
67, freezing, cold, high, strong, N 
68, ice, cold, high, strong, N
